Frequency ,voltage
44,1.3
45,1.5
46,1.8
47,2.2
48,2.7
49,3.5
50,4.7
51,6.8
52,10.9
53,19.5
53.1,20.4
53.2,22
53.3,22.9
53.4,23.7
53.5,25.2
53.6,25.8
53.7,26.2
53.8,26.7
53.9,26.5
54,26.2
54.1,25.8
54.2,24.7
54.3,24.1
54.4,22.7
54.5,22
54.6,21.3
54.7,19.9
54.8,19.3
54.9,18.1
55,17
56,11.9
57,9.2
58,7.8
59,6.9
60,6.3
61,6
62,5.8
63,5.7
64,5.7
65,5.7
66,5.9
67,6.1
68,6.5
69,6.9
70,7.7
71,8.6
72,10.1
73,12
74,14.7
74.1,14.9
74.2,15.2
74.3,15.4
74.4,15.7
74.5,16
74.6,16.1
74.7,16.2
74.8,16.3
74.9,16.4
75,16.5
75.1,16.5
75.2,16.5
75.3,16.5
75.4,16.4
75.5,16.1
75.6,16
75.7,15.9
75.8,15.7
75.9,15.6
76,15.2
77,11.8
78,8.9
79,6.8
80,5.5
81,4.5
82,3.9
83,3.4
84,3
85,2.7
86,2.5
87,2.3
88,2.2
89,2
