Distance (mm),First peak rms voltage(V) 0.1
50.00,27.80
55.00,27.30
60.00,26.00
65.00,25.70
70.00,25.00
75.00,24.20
80.00,23.40
85.00,22.80
90.00,21.70
95.00,21.00
100.00,20.20
105.00,19.50
110.00,18.60
115.00,17.60
120.00,17.00
125.00,15.60
130.00,15.20
135.00,14.90
140.00,13.90
145.00,13.10
150.00,12.50
155.00,11.60
160.00,10.90
165.00,10.40
170.00,9.70
175.00,9.40
180.00,8.60
185.00,8.00
190.00,7.50
195.00,7.30
200.00,6.70
205.00,6.40
210.00,6.10
215.00,5.70
220.00,5.20
225.00,4.90
230.00,4.50
235.00,4.00
240.00,3.90
245.00,3.60
250.00,3.40
255.00,3.10
260.00,2.90
265.00,2.60
270.00,2.50
275.00,2.30
280.00,2.10
285.00,1.90
290.00,1.80
295.00,1.60
300.00,1.60
305.00,1.50
310.00,1.40
315.00,1.20
320.00,1.10
325.00,1.00
330.00,0.90
335.00,0.80
340.00,0.70
345.00,0.60
350.00,0.50
